method,language,label,expected,prediction,accuracy,latency_ms,audio_sec,rtf,dense_size_mb,linear_sparsity,note
tiny-baseline,English,Greeting,How are you doing today,How are you doing today?,1.0,398.2887000000002,1.8,0.2212715000000001,72.022705078125,1.0705100502777398e-06,
tiny-baseline,English,Weather,The weather is very nice outside,The weather is very nice outside.,1.0,54.37270000000005,2.544,0.021372916666666686,72.022705078125,1.0705100502777398e-06,
tiny-baseline,English,Order,I would like a cup of coffee,I would like a cup of coffee.,1.0,54.70659999999938,2.088,0.02620047892720277,72.022705078125,1.0705100502777398e-06,
tiny-baseline,Chinese,Greeting_zh,你好今天天气怎么样,你好今天天氣怎麼樣,0.6666666666666667,56.48989999999898,2.76,0.0204673550724634,72.022705078125,1.0705100502777398e-06,
tiny-baseline,Chinese,Order_zh,我想订一杯咖啡,我想定義被咖啡,0.5714285714285714,59.53129999999973,2.352,0.025310926870748186,72.022705078125,1.0705100502777398e-06,
tiny-baseline,Chinese,Thanks,谢谢你的帮助,謝謝你的幫助,0.5,54.52680000000143,1.896,0.028758860759494426,72.022705078125,1.0705100502777398e-06,
tiny-baseline,French,Salutation,Bonjour comment allez vous,Bonjour comment allez-vous.,1.0,61.21429999999961,1.632,0.037508762254901726,72.022705078125,1.0705100502777398e-06,
tiny-baseline,French,Commande,Je voudrais un cafe,Je voudrais en café.,0.75,61.48100000000056,1.56,0.0394108974358978,72.022705078125,1.0705100502777398e-06,
tiny-baseline,French,Thanks_fr,Merci pour votre aide,Merci pour votre aide.,1.0,42.68850000000057,1.56,0.027364423076923442,72.022705078125,1.0705100502777398e-06,
distilled-tiny,English,Greeting,How are you doing today,How are you doing today?,1.0,42.37150000000156,1.8,0.02353972222222309,72.022705078125,1.125408001574034e-06,
distilled-tiny,English,Weather,The weather is very nice outside,The weather is very nice outside.,1.0,44.24939999999822,2.544,0.017393632075470997,72.022705078125,1.125408001574034e-06,
distilled-tiny,English,Order,I would like a cup of coffee,I would like a cup of coffee.,1.0,48.48140000000001,2.088,0.023219061302681997,72.022705078125,1.125408001574034e-06,
distilled-tiny,Chinese,Greeting_zh,你好今天天气怎么样,"你好今天,天气怎么样",1.0,41.040600000002314,2.76,0.014869782608696492,72.022705078125,1.125408001574034e-06,
distilled-tiny,Chinese,Order_zh,我想订一杯咖啡,我想定一杯咖啡,0.8571428571428572,45.27389999999798,2.352,0.019249107142856284,72.022705078125,1.125408001574034e-06,
distilled-tiny,Chinese,Thanks,谢谢你的帮助,謝謝你的幫助,0.5,32.48119999999943,1.896,0.01713143459915582,72.022705078125,1.125408001574034e-06,
distilled-tiny,French,Salutation,Bonjour comment allez vous,Bonjour comment allez-vous?,1.0,40.72969999999998,1.632,0.02495692401960783,72.022705078125,1.125408001574034e-06,
distilled-tiny,French,Commande,Je voudrais un cafe,Je voudrais un café.,1.0,41.87680000000071,1.56,0.02684410256410302,72.022705078125,1.125408001574034e-06,
distilled-tiny,French,Thanks_fr,Merci pour votre aide,Merci pour votre aide.,1.0,35.499599999997855,1.56,0.02275615384615247,72.022705078125,1.125408001574034e-06,
